bar,equity
309,9901.89
310,9901.89
311,9901.89
312,9901.89
313,9901.89
314,9901.89
315,9901.89
316,9901.89
317,9900.04
318,9897.07
319,9897.07
320,9897.07
321,9894.1
322,9898.42
323,9890.74
324,9890.74
325,9890.74
326,9890.74
327,9890.74
328,9890.74
329,9890.74
330,9890.74
331,9890.74
332,9890.74
333,9890.74
334,9890.74
335,9890.74
336,9890.74
337,9890.74
338,9890.74
339,9890.74
340,9890.74
341,9890.74
342,9890.74
343,9890.74
344,9890.74
345,9890.46
346,9890.46
347,9890.46
348,9890.46
349,9890.46
350,9890.46
351,9890.46
352,9890.46
353,9890.46
354,9890.46
355,9890.46
356,9890.46
357,9890.46
358,9890.46
359,9887.94
360,9887.94
361,9887.94
362,9887.94
363,9887.94
364,9887.94
365,9887.94
366,9887.94
367,9886.01
368,9883.04
369,9880.08
370,9878.57
371,9886.97
372,9886.97
373,9885.46
374,9885.46
375,9885.46
376,9886.88
377,9886.88
378,9883.88
379,9883.88
380,9883.88
381,9883.88
382,9883.88
383,9879.71
384,9879.71
385,9879.71
386,9879.71
387,9879.71
388,9879.71
389,9879.71
390,9874.25
391,9874.25
392,9874.25
393,9874.25
394,9874.25
395,9874.25
396,9874.25
397,9874.25
398,9874.25
399,9874.25
400,9874.25
401,9874.25
402,9874.25
403,9874.25
404,9874.25
405,9874.25
406,9874.25
407,9874.25
408,9874.25
409,9874.25
410,9874.25
411,9874.25
412,9874.25
413,9874.25
414,9874.25
415,9874.32
416,9884.26
417,9884.26
418,9881.29
419,9884.65
420,9889.31
421,9889.31
422,9887.8
423,9887.8
424,9887.8
425,9887.8
426,9887.8
427,9887.8
428,9887.8
429,9887.8
430,9887.8
431,9887.8
432,9887.8
433,9887.8
434,9887.8
435,9887.8
436,9887.8
437,9887.8
438,9887.8
439,9887.8
440,9887.8
441,9887.8
442,9887.8
443,9887.8
444,9887.8
445,9887.8
446,9887.8
447,9887.8
448,9887.8
449,9884.99
450,9884.99
451,9884.99
452,9884.99
453,9884.99
454,9884.99
455,9884.99
456,9884.99
457,9884.99
458,9883.53
459,9883.53
460,9883.53
461,9883.53
462,9889.07
463,9887.55
