bar,equity
309,10003.43
310,10003.43
311,10003.43
312,10003.43
313,10003.43
314,10003.43
315,10003.43
316,10003.43
317,10001.89
318,10001.89
319,10001.89
320,9999.13
321,9999.13
322,9992.73
323,9992.73
324,9992.73
325,9992.73
326,9992.73
327,9992.73
328,9992.73
329,9992.73
330,9992.73
331,9992.73
332,9992.73
333,9992.73
334,9992.73
335,9992.73
336,9992.73
337,9992.73
338,9992.73
339,9992.73
340,9992.73
341,9992.73
342,9992.73
343,9992.73
344,9992.73
345,9992.73
346,9992.73
347,9992.73
348,9992.73
349,9992.73
350,9992.73
351,9992.73
352,9992.73
353,9992.73
354,9992.73
355,9992.73
356,9992.73
357,9990.57
358,9990.57
359,9986.47
360,9986.47
361,9986.47
362,9986.47
363,9986.47
364,9986.47
365,9986.47
366,9984.28
367,9978.48
368,9978.48
369,9978.48
370,9986.36
371,9986.36
372,9986.36
373,9986.36
374,9986.36
375,9982.79
376,9982.79
377,9982.79
378,9982.79
379,9982.79
380,9982.79
381,9982.79
382,9982.79
383,9981.92
384,9981.92
385,9981.92
386,9981.92
387,9981.92
388,9981.92
389,9978.3
390,9972.87
391,9972.87
392,9972.87
393,9972.87
394,9972.87
395,9972.87
396,9972.87
397,9972.87
398,9972.87
399,9972.87
400,9972.87
401,9972.87
402,9972.87
403,9972.87
404,9972.87
405,9972.87
406,9972.87
407,9972.87
408,9972.87
409,9972.87
410,9972.87
411,9972.87
412,9972.87
413,9972.87
414,9972.87
415,9971.72
416,9971.72
417,9971.72
418,9971.72
419,9990.11
420,9990.11
421,9990.11
422,9990.11
423,9990.11
424,9990.11
425,9990.11
426,9990.11
427,9990.11
428,9990.11
429,9990.11
430,9990.11
431,9988.65
432,9988.65
433,9988.65
434,9988.65
435,9988.65
436,9988.65
437,9988.65
438,9988.65
439,9988.65
440,9988.65
441,9988.65
442,9988.65
443,9988.65
444,9988.65
445,9988.65
446,9988.65
447,9988.65
448,9988.65
449,9986.69
450,9986.69
451,9989.37
452,9989.37
453,9989.37
454,9989.37
455,9989.37
456,9989.37
457,9989.37
458,9985.13
459,9985.13
460,9985.13
461,9989.3
462,9994.91
463,9994.91
464,9991.34
465,9991.34
466,9991.34
467,9991.34
468,9991.34
469,9991.34
470,9991.34
471,9991.34
472,9997.97
473,9997.97
474,9997.97
475,9997.97
476,9997.97
477,9997.97
478,9997.97
479,9997.97
480,9997.97
481,9997.97
482,9997.97
483,9997.97
484,9997.97
485,9997.97
486,9997.97
487,9997.97
488,9997.97
489,10014.18
490,10014.18
491,10014.18
492,10011.09
493,10011.09
494,10011.09
495,10011.09
496,10011.09
497,10011.09
498,10011.09
499,10011.09
500,10011.09
501,10011.09
502,10011.09
503,10023.58
504,10023.58
505,10023.58
506,10023.58
507,10023.58
508,10023.58
509,10024.01
510,10024.01
511,10024.01
512,10030.67
513,10037.32
514,10033.74
515,10033.74
516,10033.74
517,10033.74
518,10033.74
519,10033.74
520,10033.74
521,10033.74
522,10033.74
523,10033.74
524,10033.74
525,10033.74
526,10033.74
527,10033.74
528,10033.74
529,10033.74
530,10033.74
531,10033.74
532,10033.74
533,10033.74
534,10044.71
535,10044.71
536,10044.71
537,10041.31
538,10041.31
539,10041.31
540,10041.31
541,10041.31
542,10038.43
543,10034.93
544,10034.93
545,10034.93
546,10044.02
547,10040.43
548,10040.43
549,10040.43
550,10040.43
551,10040.43
552,10040.43
553,10040.43
554,10040.43
555,10040.43
556,10040.43
557,10035.67
558,10035.67
559,10035.67
560,10033.17
561,10033.17
562,10033.17
563,10033.17
564,10033.17
565,10033.17
566,10033.17
567,10033.17
568,10033.17
569,10033.17
570,10033.17
571,10033.17
572,10033.17
573,10033.17
574,10033.17
575,10033.17
576,10035.88
577,10035.88
578,10035.88
579,10035.88
580,10035.88
581,10035.88
582,10035.88
583,10033.86
584,10039.63
585,10059.53
586,10055.94
587,10044.02
588,10044.02
589,10044.02
590,10044.02
591,10044.02
592,10044.02
593,10044.02
594,10044.02
595,10044.02
596,10044.02
597,10044.02
598,10044.02
599,10044.02
600,10044.02
601,10044.02
602,10044.02
603,10044.02
604,10044.02
605,10044.02
606,10042.22
607,10054.49
608,10054.49
609,10054.82
610,10053.35
611,10053.35
612,10053.35
613,10050.88
614,10050.88
615,10050.88
616,10050.88
617,10050.88
618,10050.88
619,10050.88
620,10050.88
621,10050.88
622,10050.88
623,10050.88
624,10050.88
625,10050.88
626,10050.88
627,10050.88
628,10050.88
629,10050.88
630,10062.11
631,10058.51
632,10058.51
633,10058.33
634,10058.33
635,10057.73
636,10057.73
637,10057.73
638,10057.73
639,10053.85
640,10052.32
641,10052.32
642,10052.32
643,10052.32
644,10052.32
645,10052.32
646,10052.32
647,10052.32
648,10052.32
649,10052.32
650,10052.32
651,10052.32
652,10052.32
653,10052.32
654,10052.32
655,10052.18
656,10045.39
657,10045.39
658,10045.39
659,10045.39
660,10045.39
661,10045.39
662,10045.39
663,10045.39
664,10045.39
665,10045.39
666,10045.39
667,10044.95
668,10044.95
669,10044.95
670,10044.95
671,10044.95
672,10044.95
673,10044.95
674,10044.95
675,10044.95
676,10044.95
677,10044.95
678,10044.95
679,10044.95
680,10044.95
681,10044.95
682,10044.95
683,10049.05
684,10049.05
685,10049.05
686,10049.05
687,10049.05
688,10049.05
689,10049.05
690,10049.05
691,10049.05
692,10049.05
693,10049.05
694,10049.05
695,10049.05
696,10049.05
697,10049.05
698,10047.0
699,10047.0
700,10047.0
701,10047.0
702,10047.0
703,10047.98
704,10047.98
705,10046.63
706,10046.63
707,10046.63
708,10046.63
709,10046.63
710,10046.63
711,10046.63
712,10046.63
713,10046.63
714,10046.63
715,10046.63
716,10046.63
717,10046.63
718,10046.63
719,10045.09
720,10045.09
721,10050.73
722,10050.73
723,10050.73
724,10050.73
725,10049.01
726,10049.01
727,10049.01
728,10052.7
729,10052.7
730,10052.7
731,10052.7
732,10050.19
733,10050.19
734,10050.19
735,10050.19
736,10050.19
737,10050.19
738,10045.08
739,10045.08
740,10045.08
741,10045.08
742,10045.08
743,10045.08
744,10045.08
745,10045.08
746,10045.08
747,10045.08
748,10045.08
749,10041.49
750,10041.49
751,10041.49
752,10041.49
753,10040.05
754,10040.05
755,10040.05
756,10040.05
757,10040.05
758,10040.05
759,10040.05
760,10040.05
761,10040.05
762,10040.05
763,10038.19
764,10038.19
765,10038.19
766,10038.19
767,10038.19
768,10038.19
769,10038.19
770,10038.19
771,10038.19
772,10038.19
773,10039.77
774,10043.93
775,10043.93
776,10042.42
777,10042.42
778,10042.42
779,10042.42
780,10044.73
781,10044.73
782,10044.73
783,10044.73
784,10044.73
785,10044.73
786,10044.73
787,10044.73
788,10044.73
789,10044.73
790,10044.73
791,10044.73
792,10044.73
793,10041.68
794,10041.68
795,10041.68
796,10041.68
797,10041.68
798,10038.48
799,10038.48
800,10038.48
801,10038.48
802,10038.48
803,10038.48
804,10038.48
805,10038.48
806,10038.48
807,10038.48
808,10038.48
809,10038.48
810,10038.48
811,10038.48
812,10038.48
813,10038.48
814,10038.48
815,10038.48
816,10041.13
817,10038.08
818,10038.08
819,10038.08
820,10034.65
821,10030.24
822,10033.8
823,10031.97
824,10031.97
825,10031.97
826,10031.97
827,10031.97
828,10031.97
829,10031.97
830,10031.97
831,10031.97
832,10031.97
833,10031.97
834,10031.97
835,10031.97
836,10031.97
837,10031.97
838,10031.97
839,10031.97
840,10031.97
841,10031.97
842,10033.4
843,10033.4
844,10033.4
845,10033.4
846,10033.4
847,10033.4
848,10033.4
849,10033.4
850,10033.4
851,10033.4
852,10033.4
853,10033.4
854,10033.4
855,10033.4
856,10039.97
857,10039.97
858,10030.18
859,10027.89
860,10027.89
861,10027.89
862,10027.89
863,10021.93
864,10021.93
865,10021.93
866,10021.93
867,10016.44
868,10016.44
869,10016.44
870,10016.44
871,10016.44
872,10010.31
873,10010.31
874,10014.75
875,10014.75
876,10008.91
877,10008.91
878,10008.91
879,10008.91
880,10008.91
881,10008.91
882,10008.91
883,10008.91
884,10008.91
885,10008.91
886,10008.91
887,10008.91
888,10008.91
889,10008.91
890,10008.91
891,10005.08
892,10000.14
893,10000.14
894,10000.14
895,9995.39
896,9995.39
897,9995.39
898,9995.39
899,9995.39
900,9989.43
901,9989.43
902,9989.43
903,9989.43
904,9982.08
905,9982.08
906,9982.08
907,9982.08
908,9982.08
909,9982.08
910,9982.08
911,9982.08
912,9982.08
913,9982.08
914,9982.08
915,9982.08
916,9982.08
917,9975.17
918,9975.17
919,9968.02
920,9968.02
921,9968.02
922,9968.02
923,9978.39
924,9978.39
925,9978.39
926,9978.39
927,9978.39
928,9972.46
929,9972.46
930,9972.46
931,9972.46
932,9972.46
933,9972.46
934,9968.09
935,9963.57
936,9963.57
937,9963.57
938,9961.88
939,9961.88
940,9961.88
941,9961.88
942,9960.15
943,9960.15
944,9960.15
945,9953.9
946,9948.48
947,9948.48
948,9948.48
949,9948.48
950,9948.48
951,9943.12
952,9943.12
953,9943.12
954,9943.12
955,9935.57
956,9935.57
957,9935.57
958,9935.57
959,9935.57
960,9935.57
961,9935.57
962,9935.57
963,9935.57
964,9929.6
965,9924.24
966,9924.24
967,9924.24
968,9924.24
969,9924.24
970,9924.24
971,9924.24
972,9924.24
973,9924.24
974,9924.24
975,9925.63
976,9925.63
977,9925.63
978,9925.63
979,9925.63
980,9925.63
981,9925.63
982,9919.76
983,9919.76
984,9919.76
985,9919.76
986,9919.76
987,9919.76
988,9911.47
989,9913.64
990,9908.87
991,9908.87
992,9906.1
993,9906.1
994,9906.1
995,9906.1
996,9906.1
997,9906.1
998,9906.1
999,9906.1
1000,9906.1
1001,9906.1
1002,9906.1
1003,9906.1
1004,9906.1
1005,9906.1
1006,9906.1
1007,9906.1
1008,9906.1
1009,9906.1
1010,9906.1
1011,9906.1
1012,9906.1
1013,9906.1
1014,9906.1
1015,9906.1
1016,9906.1
1017,9906.1
1018,9906.1
1019,9906.1
1020,9906.1
1021,9906.1
1022,9906.1
1023,9906.1
1024,9906.1
1025,9906.1
1026,9906.1
1027,9906.1
1028,9906.1
1029,9906.1
1030,9906.1
1031,9906.1
1032,9906.1
1033,9906.1
1034,9906.1
1035,9906.1
1036,9903.03
1037,9903.03
1038,9903.03
1039,9903.03
1040,9893.4
1041,9893.4
1042,9893.4
1043,9893.4
1044,9893.4
1045,9893.4
1046,9893.4
1047,9890.32
1048,9899.89
1049,9899.89
1050,9899.89
1051,9899.89
1052,9899.89
1053,9896.35
1054,9896.35
1055,9896.35
1056,9896.35
1057,9896.35
1058,9896.35
1059,9896.35
1060,9896.35
1061,9896.35
1062,9896.35
1063,9896.35
1064,9894.27
1065,9894.27
1066,9894.27
1067,9894.27
1068,9894.27
1069,9894.27
1070,9894.27
1071,9894.27
1072,9906.25
1073,9906.25
1074,9906.25
1075,9904.99
1076,9904.99
1077,9904.99
1078,9904.99
1079,9904.99
1080,9904.99
1081,9904.99
1082,9904.99
1083,9904.99
1084,9904.99
1085,9904.99
1086,9904.99
1087,9904.99
1088,9904.99
1089,9904.99
1090,9904.99
1091,9904.99
1092,9904.99
1093,9904.99
1094,9904.99
1095,9904.99
1096,9904.24
1097,9904.24
1098,9904.24
1099,9902.47
1100,9902.47
1101,9902.47
1102,9902.47
1103,9902.47
1104,9902.47
1105,9902.47
1106,9902.47
1107,9911.32
1108,9911.32
1109,9911.32
1110,9915.59
1111,9913.85
1112,9915.3
1113,9915.3
1114,9915.3
1115,9915.3
1116,9916.3
1117,9916.3
1118,9916.3
1119,9916.3
1120,9916.3
1121,9916.3
1122,9916.3
1123,9916.3
1124,9916.3
1125,9916.3
1126,9916.3
1127,9916.3
1128,9916.3
1129,9916.3
1130,9916.3
1131,9916.3
1132,9916.3
1133,9916.3
1134,9916.3
