bar,equity
309,9983.43
310,9983.43
311,9983.43
312,9983.43
313,9983.43
314,9983.43
315,9983.43
316,9983.43
317,9981.9
318,9981.9
319,9981.9
320,9981.9
321,9981.9
322,9975.51
323,9975.51
324,9975.51
325,9975.51
326,9975.51
327,9975.51
328,9975.51
329,9975.51
330,9975.51
331,9975.51
332,9975.51
333,9975.51
334,9975.51
335,9975.51
336,9975.51
337,9975.51
338,9975.51
339,9975.51
340,9975.51
341,9975.51
342,9975.51
343,9975.51
344,9975.51
345,9975.23
346,9975.23
347,9975.23
348,9975.23
349,9975.23
350,9975.23
351,9975.23
352,9975.23
353,9975.23
354,9975.23
355,9975.23
356,9975.23
357,9973.07
358,9973.07
359,9968.97
360,9968.97
361,9968.97
362,9968.97
363,9968.97
364,9968.97
365,9968.97
366,9966.79
367,9967.12
368,9967.12
369,9967.12
370,9974.08
371,9974.08
372,9974.08
373,9974.08
374,9974.08
375,9970.52
376,9970.52
377,9970.52
378,9970.52
379,9970.52
380,9970.52
381,9970.52
382,9970.52
383,9969.12
384,9969.12
385,9969.12
386,9969.12
387,9969.12
388,9969.12
389,9965.49
390,9960.08
391,9960.08
392,9960.08
393,9960.08
394,9960.08
395,9960.08
396,9960.08
397,9960.08
398,9960.08
399,9960.08
400,9960.08
401,9960.08
402,9960.08
403,9960.08
404,9960.08
405,9960.08
406,9960.08
407,9960.08
408,9960.08
409,9960.08
410,9960.08
411,9960.08
412,9960.08
413,9960.08
414,9960.08
415,9958.93
416,9958.93
417,9958.93
418,9958.93
419,9975.43
420,9975.43
421,9975.43
422,9975.43
423,9975.43
424,9975.43
425,9975.43
426,9975.43
427,9975.43
428,9975.43
429,9975.43
430,9975.43
431,9973.96
432,9973.96
433,9973.96
434,9973.96
435,9973.96
436,9973.96
437,9973.96
438,9973.96
439,9973.96
440,9973.96
441,9973.96
442,9973.96
443,9973.96
444,9973.96
445,9973.96
446,9973.96
447,9973.96
448,9973.96
449,9972.13
450,9972.13
451,9974.8
452,9974.8
453,9974.8
454,9974.8
455,9974.8
456,9974.8
457,9974.8
458,9970.57
459,9970.57
460,9970.57
461,9975.52
462,9980.92
463,9980.92
464,9977.36
465,9977.36
466,9977.36
467,9977.36
468,9977.36
469,9977.36
470,9977.36
471,9977.36
472,9983.21
473,9983.21
474,9983.21
475,9983.21
476,9983.21
477,9983.21
478,9983.21
479,9983.21
480,9983.21
481,9983.21
482,9983.21
483,9983.21
484,9983.21
485,9983.21
486,9983.21
487,9983.21
488,9983.21
489,9988.68
490,9988.68
491,9988.68
492,9985.6
493,9985.6
494,9985.6
495,9985.6
496,9985.6
497,9985.6
498,9985.6
499,9985.6
500,9985.6
501,9985.6
502,9985.6
503,9997.19
504,9997.19
505,9997.19
506,9997.19
507,9997.19
508,9997.19
509,9996.96
510,9996.96
511,10002.83
512,10008.7
513,10014.58
514,10011.0
515,10011.0
516,10011.0
517,10011.0
518,10011.0
519,10011.0
520,10011.0
521,10011.0
522,10011.0
523,10011.0
524,10011.0
525,10011.0
526,10011.0
527,10011.0
528,10011.0
529,10011.0
530,10011.0
531,10011.0
532,10011.0
533,10011.0
534,10016.23
535,10016.23
536,10016.23
537,10012.83
538,10012.83
539,10012.83
540,10012.83
541,10012.83
542,10009.96
543,10006.47
544,10006.47
545,10006.47
546,10004.03
547,10000.45
548,10000.45
549,10000.45
550,10000.45
551,10000.45
552,10000.45
553,10000.45
554,10000.45
555,10000.45
556,10000.45
557,10000.45
558,9990.83
559,9990.83
560,9988.33
561,9988.33
562,9988.33
563,9988.33
564,9988.33
565,9988.33
566,9988.33
567,9988.33
568,9988.33
569,9988.33
570,9988.33
571,9988.33
572,9988.33
573,9988.33
574,9988.33
575,9988.33
576,9985.92
577,9985.92
578,9985.92
579,9985.92
580,9985.92
581,9985.92
582,9985.92
583,9983.91
584,9992.79
585,9998.66
586,9995.09
587,9983.24
588,9983.24
589,9983.24
590,9983.24
591,9983.24
592,9983.24
593,9983.24
594,9983.24
595,9983.24
596,9983.24
597,9983.24
598,9983.24
599,9983.24
600,9983.24
601,9983.24
602,9983.24
603,9983.24
604,9983.24
605,9983.24
606,9995.35
607,9992.62
608,9995.56
609,9990.79
610,9989.33
611,9989.33
612,9989.33
613,9986.88
614,9986.88
615,9986.88
616,9986.88
617,9986.88
618,9986.88
619,9986.88
620,9986.88
621,9986.88
622,9986.88
623,9986.88
624,9986.88
625,9986.88
626,9986.88
627,9993.25
628,9993.25
629,9993.25
630,9996.8
631,9993.23
632,9996.16
633,9992.66
634,9992.66
635,9994.62
636,9994.62
637,9994.62
638,9994.62
639,9990.76
640,9989.24
641,9989.24
642,9989.24
643,9989.24
644,9989.24
645,9989.24
646,9989.24
647,9989.24
648,9989.24
649,9989.24
650,9989.24
651,9989.24
652,9989.24
653,9989.24
654,9989.24
655,9988.74
656,9984.93
657,9984.93
658,9984.93
659,9984.93
660,9984.93
661,9984.93
662,9984.93
663,9984.93
664,9984.93
665,9984.93
666,9984.93
667,9981.17
668,9981.17
669,9981.17
670,9981.17
671,9981.17
672,9981.17
673,9981.17
674,9981.17
675,9981.17
676,9981.17
677,9981.17
678,9981.17
679,9981.17
680,9981.17
681,9984.78
682,9984.78
683,9984.78
684,9984.78
685,9984.78
686,9984.78
687,9984.78
688,9984.78
689,9984.78
690,9984.78
691,9984.78
692,9984.78
693,9984.78
694,9984.78
695,9984.78
696,9984.78
697,9984.78
698,9982.74
699,9982.74
700,9982.74
701,9982.74
702,9982.74
703,9983.71
704,9983.71
705,9980.57
706,9980.57
707,9980.57
708,9980.57
709,9980.57
710,9980.57
711,9980.57
